player_code,web_name,team,position,season_minutes,season_starts,fbref_subs,fbref_unused_subs,long_form_minutes,long_form_unweighted_minutes,long_form_expected_goals_90,long_form_expected_assists_90,long_form_expected_goals_conceded_90,long_form_defensive_contribution_90,long_form_bonus_90,short_form_minutes,short_form_expected_goals_90,short_form_expected_assists_90,short_form_expected_goals_conceded_90,short_form_defensive_contribution_90,short_form_bonus_90,team_long_form_xg90,team_long_form_xgc90,team_short_form_xg90,team_short_form_xgc90,long_form_expected_goals,long_form_expected_assists,long_form_expected_goals_conceded,long_form_defensive_contribution,long_form_bonus,long_form_bps,long_form_unweighted_expected_goals,long_form_unweighted_expected_assists,long_form_unweighted_expected_goals_conceded,long_form_unweighted_defensive_contribution,long_form_unweighted_bonus,long_form_unweighted_bps,long_form_bps_90,short_form_expected_goals,short_form_expected_assists,short_form_expected_goals_conceded,short_form_defensive_contribution,short_form_bonus,short_form_bps,short_form_unweighted_minutes,short_form_bps_90,now_cost,status,season_subs,fbref_starts,fbref_squads_made
449871,Onana,Aston Villa,MID,0,0,0,0,272.1,1755.0,0.1159,0.048,1.4515,10.522,0.1697,107.0,0.2355,0.0084,1.5645,7.5701,0.0,1.4247,1.4127,1.5933,1.41,0.3505,0.1451,4.3885,31.8114,0.5131,48.8003,1.68,0.6900000000000001,28.53,219.0,4.0,353.0,16.1412,0.28,0.01,1.8599999999999999,9.0,0.0,12.0,107.0,10.0935,50,i,0,0,0
469247,Iling Jr,Aston Villa,MID,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4247,1.4127,1.5933,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,u,0,0,0
645618,Burrowes,Aston Villa,MID,0,0,0,0,0.4,16.0,0.0,0.0,5.3325,5.9175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4247,1.4127,1.5933,1.41,0.0,0.0,0.0237,0.0263,0.0,0.0788,0.0,0.0,0.9,1.0,0.0,3.0,17.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,a,0,0,0
577285,George Hemmings,Aston Villa,MID,160,2,0,0,3.2,25.0,0.1547,0.0309,1.8028,3.8334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4247,1.4127,1.5933,1.41,0.0055,0.0011,0.0641,0.1363,0.0,0.588,0.04,0.01,0.61,1.0,0.0,5.0,16.5375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,a,0,2,2
653481,Alysson,Aston Villa,MID,27,0,1,0,10.8,47.0,0.1042,0.0942,3.7708,7.6833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4247,1.4127,1.5933,1.41,0.0125,0.0113,0.4525,0.922,0.0,2.4174,0.05,0.05,1.87,4.0,0.0,11.0,20.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,a,1,0,1
614071,Manzambi,Aston Villa,MID,0,0,0,0,,,,,,,,,,,,,,1.4247,1.4127,1.5933,1.41,,,,,,,,,,,,,,,,,,,,,,59,i,0,0,0
448089,Gomes,Aston Villa,MID,39,1,0,0,450.6,2829.0,0.0367,0.0734,1.6535,12.1329,0.2625,448.0,0.0201,0.0442,1.5288,11.8527,0.0,1.4247,1.4127,1.5933,1.41,0.1837,0.3674,8.2786,60.7454,1.3141,87.1019,1.29,2.09,48.6,387.0,6.0,529.0,17.3972,0.1,0.22,7.61,59.0,0.0,65.0,448.0,13.058,55,s,0,1,1
178301,Watkins,Aston Villa,FWD,0,0,0,0,478.9,2833.0,0.6152,0.0279,1.3272,2.7016,1.3978,458.0,0.8902,0.0236,1.1653,2.3581,2.3581,1.4247,1.4127,1.5933,1.41,3.2733,0.1483,7.0623,14.3755,7.4376,150.0903,15.4,1.18,43.39,94.0,26.0,623.0,28.2066,4.53,0.12,5.93,12.0,12.0,235.0,458.0,46.179,78,u,0,0,0
173879,Abraham,Aston Villa,FWD,19,0,1,0,72.9,278.0,0.6621,0.1091,1.9014,4.3274,0.519,79.0,0.9,0.0,2.8823,4.557,0.0,1.4247,1.4127,1.5933,1.41,0.5363,0.0884,1.5401,3.5052,0.4204,25.4095,2.05,0.36,5.12,13.0,2.0,93.0,31.3698,0.79,0.0,2.53,4.0,0.0,36.0,79.0,41.0127,55,a,1,0,1
493105,Garnacho,Aston Villa,MID,16,0,1,0,181.6,1261.0,0.2402,0.226,1.3078,5.492,0.176,120.0,0.255,0.06,0.87,6.75,0.0,1.4247,1.4127,1.5933,1.41,0.4847,0.4561,2.6388,11.0817,0.3551,30.8188,3.44,3.68,20.52,71.0,3.0,222.0,15.2736,0.33999999999999997,0.08,1.16,9.0,0.0,19.0,120.0,14.25,59,a,1,0,1
517052,N.Jackson,Aston Villa,FWD,70,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4247,1.4127,1.5933,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,a,0,1,1
690838,Madjo,Aston Villa,FWD,0,0,0,0,,,,,,,,,,,,,,1.4247,1.4127,1.5933,1.41,,,,,,,,,,,,,,,,,,,,,,55,i,0,0,0
487992,Ruggeri,Aston Villa,DEF,8,0,1,0,,,,,,,,,,,,,,1.4247,1.4127,1.5933,1.41,,,,,,,,,,,,,,,,,,,,,,45,a,1,0,1
433969,Suzuki,Aston Villa,GK,90,1,0,0,,,,,,,,,,,,,,1.4247,1.4127,1.5933,1.41,,,,,,,,,,,,,,,,,,,,,,50,a,0,1,1
569577,Rowe,Aston Villa,DEF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4247,1.4127,1.5933,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,a,0,0,0
571380,Lynch,Aston Villa,MID,0,0,0,0,,,,,,,,,,,,,,1.4247,1.4127,1.5933,1.41,,,,,,,,,,,,,,,,,,,,,,45,a,0,0,0
214590,Wan-Bissaka,Aston Villa,DEF,12,0,1,0,319.5,2080.0,0.0,0.0392,1.403,6.9803,0.0,177.0,0.0,0.0356,1.1847,5.5932,0.0,1.4247,1.4127,1.5933,1.41,0.0,0.1393,4.9807,24.78,0.0,33.1258,0.0,1.0,35.44,174.0,0.0,203.0,9.3312,0.0,0.07,2.33,11.0,0.0,13.0,177.0,6.6102,45,a,1,0,1
119090,Goretzka,Aston Villa,MID,0,0,0,0,,,,,,,,,,,,,,1.4247,1.4127,1.5933,1.41,,,,,,,,,,,,,,,,,,,,,,60,a,0,0,0
