player_code,web_name,team,position,season_minutes,season_starts,fbref_subs,fbref_unused_subs,long_form_minutes,long_form_expected_goals_90,long_form_expected_assists_90,long_form_expected_goals_conceded_90,long_form_bonus_90,short_form_minutes,short_form_expected_goals_90,short_form_expected_assists_90,short_form_expected_goals_conceded_90,short_form_bonus_90,team_long_form_xg90,team_long_form_xgc90,team_short_form_xg90,team_short_form_xgc90,long_form_expected_goals,long_form_expected_assists,long_form_expected_goals_conceded,long_form_bonus,long_form_bps,long_form_bps_90,short_form_expected_goals,short_form_expected_assists,short_form_expected_goals_conceded,short_form_bonus,short_form_bps,short_form_bps_90,fbref_squads_made
537403,Young,Aston Villa,MID,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,1.1543,0.9972,1.9867,1.175,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0
646754,Emery,Aston Villa,GK,0,0,0,0,,,,,,,,,,,1.1543,0.9972,1.9867,1.175,,,,,,,,,,,,,0
444180,Anthony,Bournemouth,MID,151,2,0,0,1392.0,0.0819,0.0686,1.5074,0.2586,0.0,0.0,0.0,0.0,0.0,0.8701,1.3497,0.9433,2.34,1.2673,1.06086,23.3141,4.0,197.0,12.7371,0.0,0.0,0.0,0.0,0.0,0.0,2
168991,Billing,Bournemouth,MID,1385,13,0,0,3627.0,0.1308,0.0699,1.32,0.4218,506.0,0.1263,0.1423,2.0117,0.5336,0.8701,1.3497,0.9433,2.34,5.2699,2.81568,53.1971,17.0,596.0,14.7891,0.71,0.8,11.31,3.0,82.0,14.585,13
111317,Brooks,Bournemouth,MID,271,2,0,0,393.0,0.4511,0.1328,2.0267,0.458,88.0,0.4705,0.1636,1.4011,0.0,0.8701,1.3497,0.9433,2.34,1.97,0.58,8.85,2.0,58.0,13.2824,0.45999999999999996,0.16,1.37,0.0,12.0,12.2727,2
158499,Christie,Bournemouth,MID,2908,35,0,0,2517.0,0.0714,0.0793,1.2347,0.0715,419.0,0.0516,0.1289,2.0212,0.0,0.8701,1.3497,0.9433,2.34,1.998,2.21683,34.5293,2.0,306.0,10.9416,0.24000000000000002,0.6,9.41,0.0,51.0,10.9547,35
155408,L.Cook,Bournemouth,MID,2787,32,0,0,2236.0,0.0075,0.0516,1.0915,0.0403,389.0,0.0093,0.0463,2.9267,0.0,0.8701,1.3497,0.9433,2.34,0.1854,1.28159,27.1171,1.0,355.0,14.2889,0.04,0.2,12.65,0.0,62.0,14.3445,32
244085,Siriki,Bournemouth,MID,0,0,0,0,104.0,0.1349,0.1835,1.8418,0.0,0.0,0.0,0.0,0.0,0.0,0.8701,1.3497,0.9433,2.34,0.15589999999999998,0.2121,2.1283,0.0,20.0,17.3077,0.0,0.0,0.0,0.0,0.0,0.0,0
81012,Fredericks,Bournemouth,DEF,0,0,0,0,527.0,0.0,0.0,0.2528,0.0,0.0,0.0,0.0,0.0,0.0,0.8701,1.3497,0.9433,2.34,0.0,0.0,1.48,0.0,63.0,10.759,0.0,0.0,0.0,0.0,0.0,0.0,0
463981,Hill,Bournemouth,DEF,74,1,0,0,15.0,0.0,0.06,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.8701,1.3497,0.9433,2.34,0.0,0.01,0.19,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1
235530,Kelly,Bournemouth,DEF,1553,17,0,0,2496.0,0.0106,0.0169,1.3458,0.2524,352.0,0.0307,0.0205,1.6364,0.5114,0.8701,1.3497,0.9433,2.34,0.2938,0.46843999999999997,37.3223,7.0,462.0,16.6587,0.12,0.08,6.4,2.0,78.0,19.9432,17
444183,Kilkenny,Bournemouth,MID,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8701,1.3497,0.9433,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
222683,Kluivert,Bournemouth,MID,1910,26,0,0,334.0,0.0943,0.1805,2.1988,0.0,148.0,0.0304,0.3649,2.9919,0.0,0.8701,1.3497,0.9433,2.34,0.35,0.6700000000000002,8.16,0.0,16.0,4.3114,0.05,0.6000000000000001,4.92,0.0,15.0,9.1216,26
